"1","FAC/DEVIS _ ASP_Réinstallation ","","","","","","","","","","",""," # Projet"," Noms"," Adresse","Ville","Date","Heures","Contact sur place","Code Postal","Commentaires - Printemps 2026","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","","","","","","","","","","Courriel","","Commentaires - Automne  2024","Détail des tapis","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  910 ","","1315-ET","CPE Pierre-Boucher","1200, chemin du Tremblay","Longueuil","","","","","","","","À FAIRE, LE CLIENT A DEMANDÉ LE SERVICE À L'ACHAT DE CES TAPIS","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","16","  734 ","","1315-ET","CPE Pierre-Boucher","1450, Curé-Poirier E","Longueuil","","","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","","","","","","","","","","","","","","",""
"Commerce","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","12","  754 ","","1315-ET","CPE Pierre-Boucher","2070, rue Marie-Victorin","Longueuil","","","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","FALSE","Jacynthe.Dagenais@cpepierreboucher.com","","***2070 boulevard Marie victorin Longueuil pas fait car à l'agenda c'était 2070 rue Marie Victorien , Saint Bruno de Montar ville.. Je me suis rendu pour rien****","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  814 ","","1294-ET","Les Cours d'Outremont","970, ave McEachran","Outremont","","","","","","Code boit à clefs : 2029","","","PAYÉ","La personne qui peut vous donner les accès est Madame BOSSE (514) 824-6163.
Est-ce que tu peux le faire en même temps que Northcrest la semaine prochaine ? Annie Bonnard 514-564-2200","","","","","","","TRUE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"Résidences","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","220","  2 335 ","","0955-ET","Résidence LE22","4400, rue Jean-Talon Est","Montréal","","","Nathalie","H1S 0C5","","Personne responsable : Nathalie GagnonStationnement : oui : 438-403-1760","","","Manque tapis #10, gros tapis beige sans nom à l'entrepôt. Attendre avant de planifier l'installation, le client va appeler solatech car nous n'allons peut-être pas installer..le tapis est très usé et nuis au personnel de la cuisine","Si camion pas trop gros, possibilité d’une place a l’intérieur sinon, devant la Résidence.  -  Michel Joncas 514-372-3838","FALSE","","","","","","TRUE","FALSE","FALSE","cse@residencele22.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  295 ","","1270-ET","Héma-Québec","7, boul. des Promenades","St-Bruno","","","","J3V 5J5","","","","NE PAS JETER LES TAPIS, ILS SONT NEUFS","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca",""," Les tapis de l'aile gauche pas installés cause rénovation ainsi que les ascenseur 1 et 2 - Nous avons laisser les tapis sur place + tape à la demande du concierge.- 5631pc pas bon feuille de pose neuf 5654+200pl moulures","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","260","  1 193 ","","1264-ET","Héma-Québec","4300, rue Garand, Saint-Laurent","Montréal","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  530 ","","0981-ET","Traditours","1575, de l'Avenir","Laval","","","","H7S 2N5","","","","","","","FALSE","","1","1","","","TRUE","FALSE","FALSE","info@traditours.com","","","","","","","","","","","","","","","",""
"Condo","","","","FALSE","TRUE","","TRUE","TRUE","FALSE","10","  833 ","","1276-ET","SDC 1800 Angrignon","1800, boul. Angrignon","Montréal","","","","H8N 0B8","durant la semaine du 23 avril (sauf le 27, car déménagement prévu)","514 922 6174. appeler Michel pour le code","","","","Vous pouvez avoir accès à un stationnement extérieur","","","","","","","TRUE","TRUE","TRUE","minacio@immoplex.com","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  183 ","","1358-ET","Copropriété 4647 Coloniale","4647, rue Coloniale","Montréal","","","","","","Il faut sonner au numéro 204 qui vous ouvrira. (adresse de l'immeuble 4647 av coloniale, Montreal, H2t1W1)
Nous n’avons pas de stationnement, c’est dans la rue directement.","","","","","","","","","","","TRUE","FALSE","FALSE","copro4647coloniale@gmail.com","","","","","","","","","","","","","","","",""
"Édifice médical","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","16","  111 ","","1265-ET","Globule Place Vessailles","7275, rue Sherbrooke Est, Montréal","Montréal-Est ","","","","","","jour et heure exacte  a venir ","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
"","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","40","  230 ","","1266-ET","Globule Centre Laval","1600, boul. le Corbusier","Laval","","","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","","","1377-ET","Place Charles Lemoyne","100, place St-Charles","Longueuil","","","","","","","","","","","","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  1 315 ","","1165-ET","Northcrest - SDC6301 (tapis pluie?)","6301 rue Northcrest","Outremont","","","","H3S 2W3","LIVRER LES TAPIS DE PLUIE SEULEMENT, PAS D'ENLÈVEMENT","","","Tapis permanent à changer courriel envoyé 11 avril   Installer les tapis de pluie","Ascenseur LM pas installé, hors fonction tapis laisser sur place  FAIT","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","FALSE","","2","2","","","FALSE","FALSE","FALSE","gestionnaire@syndicatnorthcrest.ca","","","","","","","","","","","","","","","",""
"Condo","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  759 ","","1166-ET","Northcrest - SDC6300 (tapis pluie?)","6300 rue Northcrest","Outremont","","","","H3S 2W3","LIVRER LES TAPIS DE PLUIE SEULEMENT, PAS D'ENLÈVEMENT","","","Tapis permanent à changer courriel envoyé 11 avril","","entretien@syndicatnorthcrest.ca     Paul 514-773-4660","FALSE","","2","1","","","FALSE","FALSE","FALSE","gestionnaire@syndicatnorthcrest.ca","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","","FALSE","","  1 923 ","","1189-ET","Musée Pointe-à-Callière","350, Place Royale","Montréal","","","","H2Y 3Y5","","Pas de nettoyage de tapis: Stationnement la rue de la commune livraison
Personne responsable Suleyman (demandez à la sécurité)","","","","Diminué PC pour retrait et nettoyage déja fait : tout l'éperon (sont roulés et numérotés) 1923pc originalement  Sur la rue de la Commune (place de livraison quoi de chargement, à côté de l’édifice L’éperon)","FALSE","","2","3","","","FALSE","FALSE","FALSE","Isabelle.Vermette@gdi.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","6","  765 ","","1311-ET","Caserne place d'Youville","335 Place d'Youville","Montréal","","","","","","","","OUI - Peux-tu le faire en même temps que le musée ?","","","FALSE","FALSE","","","FALSE","FALSE","FALSE","FALSE","FALSE","Sandra.Lopez@gdi.com; Francisco.Meneses@gdi.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","","FALSE","","  810 ","","1349-ET","Allied- Édifice 3510 St-Laurent","3510 boul. St-Laurent","Montréal","","","","","Changement de propriétaire","","","","","","","","","","","","FALSE","FALSE","FALSE","lbeaulieu@alliedreit.com","","","","","","","","","","","","","","","",""
"Édifice","","FALSE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","  917 ","","1348-ET","Allied - Édifice 3530 St-Laurent (SS1, SS"" + asc.)","3530 boul. St-Laurent","Montréal","","","","","Changement de propriétaire","","","","","","","","","","","","FALSE","FALSE","FALSE","lbeaulieu@alliedreit.com","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","FALSE","","","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","FALSE","","","","","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
