"dd","FAC/DEVIS _ ASP_Réinstallation ","Réinstallation","FAC/DEVIS _ ASP_retrait","Rebut","Retrait","FAC/DEVIS _ ASP_nett+entreposage","entreposage","Nettoyer entrepôt"," TAPE VERT "," Moulures "," PC "," Carreaux "," # Projet"," Noms"," Adresse","Ville","BLEU : JOUR   GRIS : SOIR        DATE Réinstallation","Heures","Contact sur place","Code Postal","Commentaires - Automne 2025","Commentaires - Printemps 2025","Commentaires - Automne 2024","Commentaires - printemps 2024","Commentaires - Automne 2023","Commentaires - Printemps 2023","Pickup fait","pickup/ref","Nbr gars","H/ins ","moulure "," Moulure à changer ","Courriel envoyé","Confirmation","Confirmation des dates de RDV","Courriel","","Commentaires - Automne  2024","Détail des tapis","Fact #","Nettoyer","Payer ","Sola Facture ","Ajustement à faire","Date prévue","Fait","","","","","","","","","","","",""
"Édifice","3324","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","115","  2 077 ","","1316-ET","Novartis ","700 rue St-Hubert, Montréal","","14 novembre","12h-17h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","michel.guerin@novartis.com","","manquait tapis #9 et #11 (sur les feuilles mais pas dans rouleaux , à trouver dans l'entrepôt) donc tapis #10 pas installé car entre les deux, #10 entreposé sur place selon directive du client, voir photo","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3324","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  1 246 ","","1317-ET","Allied - 700 rue St-Hubert","700 rue St-Hubert","Montréal","14 novembre","12h-17h","","","","","","","","","FALSE","FALSE","","","FALSE","FALSE","TRUE","FALSE","TRUE","dbai@alliedreit.com","","pas pu installer le 2ieme étage (pas de contact, pas d'accès sans puce ni par les escaliers) Tapis à l'entrepôt.","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","591","  15 660 ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Édifice médical","3332","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  530 ","","0981-ET","Traditours","1575, de l'Avenir","Laval","8 octobre","7h-12h","","H7S 2N5","","","","","","","FALSE","","1","1","","","TRUE","FALSE","FALSE","info@traditours.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3332","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","15","  1 023 ","","1357-ET","Le Maestria Tour B","1210, rue Jeanne-Mance, Montréal","Montréal","18 novembre","12h-17h","","À la demande du gestionnaire, le tapis asc9 va être installé dans ascenseur10","","Au 1210, vous pouvez vous stationner en face s’il y a de la place ou au débarcadère à l’arrière. Juste demandé au portier de vous guider.","","","","","","","","","","","TRUE","FALSE","TRUE","antoine.portelance@solutioncondo.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3332","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","30","  1 235 ","","1319-ET","Club MAA","2070, rue Peel","Montréal","19 novembre","12h-17h","","","","Si possible, semaine du 7 avril entre 8h et 11h","","AJOUT POUR LE SERVICE D'ENTRETIEN(si possible sermaine du 15 avril)","","","","","","","","","TRUE","FALSE","TRUE","dabreu@clubsportifmaa.com;pblanchet@clubsportifmaa.com","","À FAIRE ENTRE 8h00 et 10h30","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3332","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","50","  852 ","","1346-ET","Le Gastby","1200 rue Drummond","Montréal","19 novembre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","catherine.goulet@solutioncondo.com, francesca.vanspall@solutioncondo.com","","","","","","","","","","","","","","","","","","","","","",""
"Condo","3332","TRUE","3176","TRUE","TRUE","3236","TRUE","TRUE","TRUE","96","  1 738 ","","1318-ET","7227 boul. Newman SDC ","7227 boul. Newman","","20 novembre","12h-17h","","","","","","","","","TRUE","TRUE","","","TRUE","TRUE","TRUE","TRUE","TRUE","lenewman@gestionbrt.com","","14/05/2025:  Il veut une date de réinstallation le 1er novembre 2025","","","TRUE","TRUE","TRUE","","","TRUE","","","","","","","","","","","",""
"Condo","3332","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","10","  833 ","","1276-ET","SDC 1800 Angrignon","1800 Angrignon","Montréal","20 novembre","12h-17h","","H8N 0B8","APPORTER UN TAPIS DE 4' x 12' AJOUT","514 922 6174. appeler Michel pour le code","","","","Vous pouvez avoir accès à un stationnement extérieur","","","","","","","TRUE","FALSE","TRUE","minacio@immoplex.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3332","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  3 203 ","","1201-ET","Usine Atwater","999, rue Dupuis","Verdun","21 novembre","12-17 h","","H4G 3L4","pas ete en mesure de le faire , nous n'avons pas eu la permission de la sécurité","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","Manque tapis porte 28 #1 (long tapis de vinyle 50 pieds )","À FAIRE ENTRE LE 17 ET 28 AVRIL","FALSE","","2","4","","","TRUE","TRUE","TRUE","patrick.vallee@montreal.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3332","TRUE","3164","FALSE","TRUE","","FALSE","FALSE","FALSE","50","  640 ","","1347-ET","Édifice SunLife  21e étage","1155, rue Metcalfe","Montréal","14 novembre","17h-22h","","","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","FALSE","","","4","","","TRUE","FALSE","TRUE","Lucie.Richard@bentallgreenoak.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3332","TRUE","3164","FALSE","TRUE","","FALSE","FALSE","FALSE","","  2 140 ","","1347-ET","Édifice SunLife 7e,  8e, 9e, 23,","1155, rue Metcalfe","Montréal","14 novembre","17h-22h","","","","","","","Correction d’installation de tapis dans le lobby au 21e étage – le tapis de gauche semble avoir été mis à l’envers de 180 degrés – les deux sections ne sont pas de la même couleur cette année","","FALSE","","","4","","","TRUE","FALSE","TRUE","Lucie.Richard@bentallgreenoak.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","3332","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","20","  420 ","","1363-ET","Banque Financière Montréal","1155, rue Metcalfe","Montréal","15 novembre","17h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","TRUE","lucie.richard@bgo.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","3332","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","120","  11 857 ","","1347-ET","Edifice SunLife (RDC)","1155, rue Metcalfe, Montréal","Montréal","15 novembre","12h-22h","","","","NETTOYAGE ET ENTREPOSAGE DU RDC SEULEMENT","","","","","","","","","","","TRUE","FALSE","TRUE","lucie.richard@bgo.com","","","","","","","","","","FALSE","","","","","","","","","","","",""
"Commerce","3332","TRUE","","","","","","","FALSE","","  1 981 ","","1068-ET","Banque de Montréal","129, St-Jacques O","","21 novembre","17h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","TRUE","","","","","","","","","","","",""
"","","","","","","","","","","391","  26 452 ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FALSE","","","","","","","","","","","",""
"Commerce","3342","TRUE","","","","","","","TRUE","","  2 126 ","","1070-ET","BMO ","119, St- Jacques O","Montréal","21 novembre","17h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","FALSE","","","","","","","","","","","",""
"Résidences","3342","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","50","  760 ","","1314-ET","Cloria cité","3475, Montée Gagnon","Terrebonne","24 novembre","7h-12h","","","","","","AJOUT POUR LE SERVICE D'ENTRETIEN ","","","","FALSE","","","","","TRUE","FALSE","FALSE","nancycanuel@cloriacite.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Condo","3342","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  630 ","","1283-ET","SDC La Tannerie","680 de Courcelle","Montréal","24 novembre","7h-12h","","","","CODE D'ACCÈS:  01723","","","","","","","","","","","TRUE","FALSE","TRUE","SyndicatTannerie@in.condoweb.app;Gestion.lefite@in.condoweb.app","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3342","TRUE","3187","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  426 ","","1365-ET","Edelman","4446, boul. St-Laurent, suite 501","Montréal","25 novembre","7h-12h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","Sylvie.Mota@edelman.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Condo","3342","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","","  183 ","","1358-ET","Copropriété 4647 Coloniale","4647 rue Coloniale","Montréal","25 novembre","12h-17h","","","","Il faut sonner au numéro 204 qui vous ouvrira. (adresse de l'immeuble 4647 av coloniale, Montreal, H2t1W1)
Nous n’avons pas de stationnement, c’est dans la rue directement.","","","","","","","","","","","TRUE","FALSE","TRUE","copro4647coloniale@gmail.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Édifice","3342","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","34","  1 263 ","","1233-ET","Sunwing","3105 Place Louis R-Renaud","Laval","26 novembre","9-10,5","","H7V 0A3","","","","Ajout entrée arrière 360,8 + 903","Manque 4 tapis  = fait","","FALSE","","","8","","","TRUE","FALSE","TRUE","juliench06@gmail.com","","ajout déc 2023 - entrée arrière 360pc (360+903)","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3342","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  849 ","","1232-ET","Vacances Sunwing","3105 Place Louis R-Renaud","Laval","26 novembre","10,5-12","","H7V 0A3","","","","","","","FALSE","","","8","","","TRUE","FALSE","TRUE","juliench06@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3342","TRUE","3122","FALSE","TRUE","3186","TRUE","TRUE","FALSE","","  891 ","","1181-ET","Ville de Montréal","3705, rue Saint-Patrick","Montréal","26 novembre","14-15h","","H4E 1A1","","Remplir le formulaire demande d'autorisation d'accès du Site - OBLIGATOIRE","","","","À FAIRE ENTRE LE 17 ET 28 AVRIL","FALSE","","2","2","","","TRUE","","FALSE","patrick.vallee@montreal.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"","3342","TRUE","3201","FALSE","TRUE","3236","TRUE","TRUE","","","  779 ","","1206-ET","TMX","1115, St-Antoine , 17e et 18e étages","","27 nov.","7-9h","","","514 787-6617 _ 514 915-5770 cell","","","","FALSE","","","","","","FALSE","FALSE","FALSE","","","martin.verville@tmx.com","","","FALSE","FALSE","TRUE","","TRUE","FALSE","","","","","","","","","","","","","",""
"Résidences","3342","TRUE","3129","FALSE","TRUE","3186","TRUE","TRUE","FALSE","39","  1 035 ","","0970-ET","Les Jardins Windsor PH4","651, rue de la Montagne","Montréal","27 novembre","12h-17h","","H3C 0G2","","","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","guy.gervais@gmail.com","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3342","TRUE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  796 ","","1205-ET","Ordre des dentistes du Québec","800, boul. René Levesque O","Montréal","nov. 27","am","","","","","","","","","FALSE","","","","","","TRUE","FALSE","FALSE","kim-lai.pham@odq.qc.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Commerce","3342","TRUE","3176","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  282 ","","1207-ET","Uvée- Optométriste de Quartier","1668, rue Laurier Est","Montréal","28 novembre","12h-17h","","H2J 1J2","","","","","","pas de stationnment assigné","FALSE","","1","1","","","TRUE","FALSE","TRUE","alex-anne.harvey@uvee.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice","3342","TRUE","3187","FALSE","TRUE","3236","TRUE","","FALSE","","  240 ","","1367-ET","École Lucien-Guilbault","7695, avenue Papineau","Montreal","28 novembre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","TRUE","d.laflamme@lucien-guilbault.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Bureau","3342","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","30","  234 ","","1331-ET","LDC Logistics","1002, rue Sherbrooke O., Suite 2000","Montréal","28 novembre","7h-12h","","","****cliente impolie au téléphone avec Dominic ce matin, avec moi aussi. Dominic dit de ne pas la prendre comme cliente l'année prochaine ****","","","A FAIRE","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","okovalska@MetroSCG.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3342","TRUE","3187","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  367 ","","1329-ET","UV Quartier Villeray","682, rue Jarry Est","Montréal","28 novembre","12h-17h","","","","","","","","","FALSE","","2","2","","","TRUE","FALSE","TRUE","olivier.parenteau@uvee.ca","","","","","FALSE","FALSE","TRUE","","","FALSE","","","","","","","","","","","",""
"Édifice médical","3342","TRUE","3138","FALSE","TRUE","3236","TRUE","TRUE","FALSE","16","  111 ","","1265-ET","Globule Place Vessailles","7275, rue Sherbrooke Est, Montréal","Montréal-Est ","26 novembre","12h-17h","","","","jour et heure exacte  a venir ","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","3342","TRUE","3164","FALSE","TRUE","3236","TRUE","TRUE","FALSE","40","  230 ","","1266-ET","Globule Centre Laval","1600, boul. le Corbusier","Laval","26 novembre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","Eric.Gervais@hema-quebec.qc.ca","","","","","","","TRUE","","","","","","","","","","","","","","",""
"Commerce","3342","TRUE","","","","","","","FALSE","","  860 ","","1069-ET","Édifice 105 St-Jacques O","105, St-Jacques O","Montréal","21 novembre","17h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","FALSE","Vincent.Blais@bgis.com;Julie.Lachapelle@bgis.com","","","","","","","","","","","","","","","","","","","","","",""
"Édifice","3342","TRUE","3132","FALSE","TRUE","3235","TRUE","TRUE","FALSE","1050","  12 419 ","","1273-ET","Complexe Guy Favreau (inclus tous les étages)","200, René-Levesque O","Montréal","16 novembre","12h-22h","","H2Z 1X4","","***tapis asc2 tour west absent ainsi que les 2 ascenseurs pour stationnement ***","","","6 déc : 1er déc : 4,5 bte moulures Étages 12,11 et 9 - 5 b moulures  / 30 nov : 4.5 boîtes de moulures. Étages, 4 , 5,6 et moulures d'étage 2 et 3  /29 nov : tour Est étages 2 et 3 MANQUE MOULURES CONTOUR / 15 nov : Tour ouest 5 étages de fait / Tous les ascenseurs sont fait sauf #1 tour EST , elle est en panne, reste 4 étages à faire.  Reste tour est à faire / 5 boîtes de moulures / 13 nov : 4h – 2 per – 8 tapes RDC 1+2   ***cube ***","Pc a été changer dû au reno , le total + Aussi calculé le PC des tapis ajouté au RDC 2 Tour","FALSE","","","","","","TRUE","FALSE","TRUE","Angela.Potvin@bgis.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"","3342","TRUE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","","","1273-ET","Complexe Guy Favreau etages tour est/ouest ","200, René-Levesque O","Montréal","","17h-22h","","","","","","","","","FALSE","","","","","","TRUE","FALSE","TRUE","Angela.Potvin@bgis.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Condo","3370","TRUE","3132","FALSE","TRUE","3192","TRUE","TRUE","FALSE","50","  1 403 ","","1356-ET","Maestria Tour A","1245, rue Bleury, Montréal","Montréal","18 novembre","12h-17h","","","Manque tapis #6 donc pas pu installer #7, #8 voir la numero 6 , pas bien installer tour A ","","","","","","","","","","","","TRUE","FALSE","FALSE","antoine.portelance@solutioncondo.com","","","","","","","TRUE","","","","","","","","","","","","","","",""
"","3370","","","","","","","","","","  702 ","","1197-ET","CPE Coeur de l'Île","2830, rue Gilford","","8 décembre","10h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","TRUE","3136","FALSE","TRUE","3235","TRUE","TRUE","FALSE","","  604 ","","1177-ET","4396 St-Laurent","4396, boul. St-Laurent, Montréal","","5 novembre","12h-17h","","","","","","","","","","","","","","","TRUE","FALSE","FALSE","lbeaulieu@Alliedreit.com","","","","","","","","","","","","","","","","","","","","","",""
"Condo","","TRUE","3187","FALSE","TRUE","3236","TRUE","TRUE","FALSE","","  1 569 ","","0869-ET ","Le William","1811, rue William","Montréal","27 novembre","7h-12h","","H3J 1R5","INSTALLATION NEUVE","","","à faire","","Jennifer Allen       438 523-3687","FALSE","","2","2","","","TRUE","FALSE","FALSE","antoine.portelance@solutioncondo.com","","manque tapis 3 (était sur feuille mais pas dans rouleau, petit tapis usé contour de grille d'entrée","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","3129","FALSE","TRUE","3192","TRUE","TRUE","FALSE","","  9 088 ","","1182-ET","Tour Deloitte","1115 St-Antoine ","Montréal ","","","","","","","","","***Reste à installer tapis #51, 52 et 53 qui doivent être coupés par Dominic dû au nouveau kiosque de restauration. Et reste insertion #84 à installer ****","","FALSE","","4","8","","","FALSE","FALSE","FALSE","elliott.parsons@cadillacfairview.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Résidences","","TRUE","","FALSE","FALSE","","FALSE","FALSE","FALSE","","  2 446 ","","0690-ET","Lilo","105, boul. Don Quichotte","Île Perrot","","","","J7V 6X2","","ENLÈVEMENT ET DISPOSITION DU TAPIS (installation neuve à l'automne)","","","manque les 3 tapis d’ascenseurs.","","FALSE","","3","3","","","FALSE","FALSE","FALSE","cse@residencelilo.com","","","","","FALSE","FALSE","FALSE","","","FALSE","","","","","","","","","","","",""
"Édifice","","TRUE","","FALSE","TRUE","","TRUE","TRUE","FALSE","","","","11014-Q","Tour Optimum","1500 rue Montgolfièr","Laval","","","","1122","","","","","","","","","","","","","FALSE","FALSE","FALSE","","","","","","","","","","","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
